Retailer;Transaction ID;Invoice Date;Region;State;City;Product;Product ID; Price per Unit ;Units Sold;Total Sales;Operating Profit;Operating Margin;Sales Method
Kohl's;IT2676;01/03/2021;Midwest;Montana;Billings;Women's Athletic Footwear;WAF44; $39,00 ;119;4641;2552,55;0,55;Online
Kohl's;IT2677;01/03/2021;Midwest;Montana;Billings;Women's Athletic Footwear;WAF45; $40,00 ;425;170000;68000;0,4;Outlet
West Gear;IT2678;02/03/2021;Midwest;Wisconsin;Milwaukee;Women's Street Footwear;WSF03; $9,00 ;59;531;233,64;0,44;Online
West Gear;IT2679;02/03/2021;Midwest;Wisconsin;Milwaukee;Women's Street Footwear;WSF06; $10,00 ;225;22500;6750;0,3;In-store
West Gear;IT2680;02/03/2021;Midwest;Wisconsin;Milwaukee;Women's Athletic Footwear;WAF06; $14,00 ;20;280;114,8;0,41;Online
West Gear;IT2681;02/03/2021;Midwest;Wisconsin;Milwaukee;Women's Athletic Footwear;WAF07; $15,00 ;75;11250;3375;0,3;In-store
West Gear;IT2682;02/03/2021;Midwest;Wisconsin;Milwaukee;Women's Apparel;WA05; $18,00 ;63;1134;612,36;0,54;Online
West Gear;IT2683;02/03/2021;Midwest;Wisconsin;Milwaukee;Men's Athletic Footwear;MAF08; $19,00 ;44;836;418;0,5;Online
West Gear;IT2684;02/03/2021;Midwest;Wisconsin;Milwaukee;Men's Street Footwear;MSF12; $19,00 ;141;2679;1098,39;0,41;Online
Sports Direct;IT2685;02/03/2021;Southeast;North Carolina;Charlotte;Women's Street Footwear;WSF18; $19,00 ;181;3439;1788,28;0,52;Online
Sports Direct;IT2686;02/03/2021;Southeast;North Carolina;Charlotte;Women's Street Footwear;WSF20; $20,00 ;625;125000;50000;0,4;Online
West Gear;IT2687;02/03/2021;Midwest;Wisconsin;Milwaukee;Men's Athletic Footwear;MAF10; $20,00 ;175;35000;12250;0,35;In-store
West Gear;IT2688;02/03/2021;Midwest;Wisconsin;Milwaukee;Men's Street Footwear;MSF14; $20,00 ;470;94000;28200;0,3;In-store
West Gear;IT2689;02/03/2021;Midwest;Wisconsin;Milwaukee;Women's Apparel;WA09; $20,00 ;225;45000;18000;0,4;In-store
Sports Direct;IT2690;02/03/2021;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;WAF22; $25,00 ;475;118750;47500;0,4;Online
Sports Direct;IT2691;02/03/2021;Southeast;North Carolina;Charlotte;Women's Athletic Footwear;WAF24; $25,00 ;124;3100;1674;0,54;Online
Sports Direct;IT2692;02/03/2021;Southeast;North Carolina;Charlotte;Women's Apparel;WA20; $27,00 ;169;4563;2829,06;0,62;Online
Sports Direct;IT2693;02/03/2021;Southeast;North Carolina;Charlotte;Men's Street Footwear;MSF24; $28,00 ;276;7728;4173,12;0,54;Online
West Gear;IT2694;02/03/2021;Midwest;Wisconsin;Milwaukee;Men's Apparel;MA14; $29,00 ;34;986;601,46;0,61;Online
Sports Direct;IT2695;02/03/2021;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;MAF23; $29,00 ;150;4350;1957,5;0,45;Online
Sports Direct;IT2696;02/03/2021;Southeast;North Carolina;Charlotte;Men's Athletic Footwear;MAF24; $30,00 ;600;180000;63000;0,35;Online
Sports Direct;IT2697;02/03/2021;Southeast;North Carolina;Charlotte;Men's Street Footwear;MSF27; $30,00 ;920;276000;110400;0,4;Online
Sports Direct;IT2698;02/03/2021;Southeast;North Carolina;Charlotte;Women's Apparel;WA23; $30,00 ;625;187500;93750;0,5;Online
West Gear;IT2699;02/03/2021;Midwest;Wisconsin;Milwaukee;Men's Apparel;MA16; $30,00 ;125;37500;18750;0,5;In-store
Sports Direct;IT2700;02/03/2021;Southeast;North Carolina;Charlotte;Men's Apparel;MA25; $37,00 ;158;5846;2630,7;0,45;Online
Sports Direct;IT2701;02/03/2021;Southeast;North Carolina;Charlotte;Men's Apparel;MA29; $40,00 ;525;210000;73500;0,35;Online
Kohl's;IT2702;02/03/2021;Midwest;Montana;Billings;Men's Apparel;MA45; $51,00 ;113;5763;4264,62;0,74;Online
Kohl's;IT2703;02/03/2021;Midwest;Montana;Billings;Men's Apparel;MA49; $55,00 ;375;206250;123750;0,6;Outlet
Sports Direct;IT2704;03/03/2021;Northeast;Connecticut;Hartford;Women's Street Footwear;WSF26; $23,00 ;75;1725;552;0,32;Outlet
Sports Direct;IT2705;03/03/2021;Northeast;Connecticut;Hartford;Men's Street Footwear;MSF22; $26,00 ;182;4732;2034,76;0,43;Outlet
Sports Direct;IT2706;03/03/2021;Northeast;Connecticut;Hartford;Women's Athletic Footwear;WAF28; $27,00 ;34;918;293,76;0,32;Outlet
Sports Direct;IT2707;03/03/2021;Northeast;Connecticut;Hartford;Women's Apparel;WA22; $29,00 ;85;2465;961,35;0,39;Outlet
Sports Direct;IT2708;03/03/2021;Northeast;Connecticut;Hartford;Women's Street Footwear;WSF36; $29,00 ;68;1972;887,4;0,45;Online
Sports Direct;IT2709;03/03/2021;Northeast;Connecticut;Hartford;Women's Street Footwear;WSF38; $30,00 ;250;75000;22500;0,3;In-store
Sports Direct;IT2710;03/03/2021;Northeast;Connecticut;Hartford;Men's Athletic Footwear;MAF28; $32,00 ;68;2176;979,2;0,45;Outlet
Sports Direct;IT2711;03/03/2021;Northeast;Connecticut;Hartford;Women's Athletic Footwear;WAF36; $32,00 ;30;960;403,2;0,42;Online
Sports Direct;IT2712;03/03/2021;Northeast;Connecticut;Hartford;Women's Athletic Footwear;WAF39; $35,00 ;100;35000;10500;0,3;In-store
Sports Direct;IT2713;03/03/2021;Northeast;Connecticut;Hartford;Men's Athletic Footwear;MAF35; $38,00 ;56;2128;1149,12;0,54;Online
Sports Direct;IT2714;03/03/2021;Northeast;Connecticut;Hartford;Women's Apparel;WA35; $38,00 ;73;2774;1359,26;0,49;Online
Sports Direct;IT2715;03/03/2021;Northeast;Connecticut;Hartford;Men's Apparel;MA27; $39,00 ;53;2067;702,78;0,34;Outlet
Sports Direct;IT2716;03/03/2021;Northeast;Connecticut;Hartford;Men's Street Footwear;MSF40; $39,00 ;130;5070;2535;0,5;Online
Sports Direct;IT2717;03/03/2021;Northeast;Connecticut;Hartford;Men's Athletic Footwear;MAF37; $40,00 ;225;90000;36000;0,4;In-store
Sports Direct;IT2718;03/03/2021;Northeast;Connecticut;Hartford;Men's Street Footwear;MSF41; $40,00 ;520;208000;83200;0,4;In-store
Sports Direct;IT2719;03/03/2021;Northeast;Connecticut;Hartford;Women's Apparel;WA38; $40,00 ;250;100000;35000;0,35;In-store
Sports Direct;IT2720;03/03/2021;Northeast;Connecticut;Hartford;Men's Apparel;MA40; $48,00 ;39;1872;748,8;0,4;Online
Sports Direct;IT2721;03/03/2021;Northeast;Connecticut;Hartford;Men's Apparel;MA43; $50,00 ;150;75000;22500;0,3;In-store
Kohl's;IT2722;03/03/2021;Midwest;Montana;Billings;Women's Apparel;WA64; $56,00 ;133;7448;2830,24;0,38;Online
Kohl's;IT2723;03/03/2021;Midwest;Montana;Billings;Women's Apparel;WA69; $60,00 ;475;285000;71250;0,25;Outlet
Kohl's;IT2724;04/03/2021;Midwest;Montana;Billings;Men's Street Footwear;MSF43; $41,00 ;196;8036;4500,16;0,56;Online
Kohl's;IT2725;04/03/2021;Midwest;Montana;Billings;Men's Street Footwear;MSF48; $45,00 ;675;303750;136687,5;0,45;Outlet
Foot Locker;IT2726;05/03/2021;Midwest;Iowa;Des Moines;Women's Street Footwear;WSF03; $9,00 ;65;585;234;0,4;Online
Foot Locker;IT2727;05/03/2021;Midwest;Iowa;Des Moines;Women's Street Footwear;WSF06; $10,00 ;225;22500;6750;0,3;In-store
Foot Locker;IT2728;05/03/2021;Midwest;Iowa;Des Moines;Women's Athletic Footwear;WAF06; $14,00 ;28;392;164,64;0,42;Online
Foot Locker;IT2729;05/03/2021;Midwest;Iowa;Des Moines;Women's Athletic Footwear;WAF07; $15,00 ;100;15000;4500;0,3;In-store
Foot Locker;IT2730;05/03/2021;Midwest;Iowa;Des Moines;Men's Athletic Footwear;MAF08; $19,00 ;47;893;401,85;0,45;Online
Foot Locker;IT2731;05/03/2021;Midwest;Iowa;Des Moines;Men's Street Footwear;MSF12; $19,00 ;136;2584;1033,6;0,4;Online
Foot Locker;IT2732;05/03/2021;Midwest;Iowa;Des Moines;Women's Apparel;WA08; $20,00 ;68;1360;720,8;0,53;Online
Foot Locker;IT2733;05/03/2021;Midwest;Iowa;Des Moines;Men's Athletic Footwear;MAF10; $20,00 ;175;35000;12250;0,35;In-store
Foot Locker;IT2734;05/03/2021;Midwest;Iowa;Des Moines;Men's Street Footwear;MSF14; $20,00 ;470;94000;28200;0,3;In-store
Foot Locker;IT2735;05/03/2021;Midwest;Iowa;Des Moines;Women's Apparel;WA09; $20,00 ;250;50000;20000;0,4;In-store
Foot Locker;IT2736;05/03/2021;Southeast;South Carolina;Charleston;Women's Street Footwear;WSF27; $24,00 ;181;4344;1650,72;0,38;Online
Foot Locker;IT2737;05/03/2021;Southeast;South Carolina;Charleston;Women's Street Footwear;WSF29; $25,00 ;725;181250;45312,5;0,25;Online
Foot Locker;IT2738;05/03/2021;Southeast;South Carolina;Charleston;Women's Athletic Footwear;WAF28; $27,00 ;144;3888;1632,96;0,42;Online
Foot Locker;IT2739;05/03/2021;Midwest;Iowa;Des Moines;Men's Apparel;MA13; $28,00 ;39;1092;698,88;0,64;Online
Foot Locker;IT2740;05/03/2021;Southeast;South Carolina;Charleston;Women's Athletic Footwear;WAF31; $30,00 ;575;172500;51750;0,3;Online
Foot Locker;IT2741;05/03/2021;Midwest;Iowa;Des Moines;Men's Apparel;MA16; $30,00 ;150;45000;22500;0,5;In-store
Foot Locker;IT2742;05/03/2021;Southeast;South Carolina;Charleston;Men's Athletic Footwear;MAF28; $32,00 ;210;6720;3292,8;0,49;Online
Foot Locker;IT2743;05/03/2021;Southeast;South Carolina;Charleston;Women's Apparel;WA27; $32,00 ;189;6048;3810,24;0,63;Online
Foot Locker;IT2744;05/03/2021;Southeast;South Carolina;Charleston;Men's Street Footwear;MSF32; $33,00 ;265;8745;5072,1;0,58;Online
Foot Locker;IT2745;05/03/2021;Southeast;South Carolina;Charleston;Men's Athletic Footwear;MAF31; $35,00 ;700;245000;85750;0,35;Online
Foot Locker;IT2746;05/03/2021;Southeast;South Carolina;Charleston;Men's Street Footwear;MSF35; $35,00 ;1020;357000;160650;0,45;Online
Foot Locker;IT2747;05/03/2021;Southeast;South Carolina;Charleston;Women's Apparel;WA31; $35,00 ;725;253750;126875;0,5;Online
Foot Locker;IT2748;05/03/2021;Southeast;South Carolina;Charleston;Men's Apparel;MA30; $41,00 ;181;7421;3562,08;0,48;Online
Foot Locker;IT2749;05/03/2021;Southeast;South Carolina;Charleston;Men's Apparel;MA36; $45,00 ;625;281250;98437,5;0,35;Online
Kohl's;IT2750;05/03/2021;Midwest;Montana;Billings;Men's Athletic Footwear;MAF44; $45,00 ;182;8190;3521,7;0,43;Online
Kohl's;IT2751;05/03/2021;Midwest;Montana;Billings;Men's Athletic Footwear;MAF52; $50,00 ;675;337500;101250;0,3;Outlet
Foot Locker;IT2752;06/03/2021;Northeast;Rhode Island;Providence;Women's Street Footwear;WSF16; $17,00 ;56;952;447,44;0,47;Outlet
Foot Locker;IT2753;06/03/2021;Northeast;Rhode Island;Providence;Women's Athletic Footwear;WAF15; $20,00 ;8;160;75,2;0,47;Outlet
Foot Locker;IT2754;06/03/2021;Northeast;Rhode Island;Providence;Women's Street Footwear;WSF26; $23,00 ;51;1173;609,96;0,52;Online
Kohl's;IT2755;06/03/2021;Northeast;New Jersey;Newark;Women's Street Footwear;WSF27; $24,00 ;59;1416;750,48;0,53;Online
Foot Locker;IT2756;06/03/2021;Northeast;Rhode Island;Providence;Women's Apparel;WA17; $25,00 ;58;1450;638;0,44;Outlet
Kohl's;IT2757;06/03/2021;Northeast;New Jersey;Newark;Women's Street Footwear;WSF30; $25,00 ;225;56250;22500;0,4;In-store
Foot Locker;IT2758;06/03/2021;Northeast;Rhode Island;Providence;Women's Street Footwear;WSF30; $25,00 ;175;43750;17500;0,4;In-store
Foot Locker;IT2759;06/03/2021;Northeast;Rhode Island;Providence;Men's Street Footwear;MSF22; $26,00 ;156;4056;1500,72;0,37;Outlet
Foot Locker;IT2760;06/03/2021;Northeast;Rhode Island;Providence;Men's Athletic Footwear;MAF21; $27,00 ;45;1215;473,85;0,39;Outlet
Kohl's;IT2761;06/03/2021;Northeast;New Jersey;Newark;Women's Athletic Footwear;WAF28; $27,00 ;22;594;308,88;0,52;Online
Foot Locker;IT2762;06/03/2021;Northeast;Rhode Island;Providence;Women's Athletic Footwear;WAF30; $29,00 ;8;232;116;0,5;Online
Kohl's;IT2763;06/03/2021;Northeast;New Jersey;Newark;Women's Athletic Footwear;WAF32; $30,00 ;75;22500;9000;0,4;In-store
Foot Locker;IT2764;06/03/2021;Northeast;Rhode Island;Providence;Women's Athletic Footwear;WAF32; $30,00 ;25;7500;3000;0,4;In-store
Kohl's;IT2765;06/03/2021;Northeast;New Jersey;Newark;Men's Athletic Footwear;MAF28; $32,00 ;58;1856;909,44;0,49;Online
Kohl's;IT2766;06/03/2021;Northeast;New Jersey;Newark;Men's Street Footwear;MSF31; $32,00 ;144;4608;2119,68;0,46;Online
Kohl's;IT2767;06/03/2021;Northeast;New Jersey;Newark;Women's Apparel;WA27; $32,00 ;61;1952;976;0,5;Online
Foot Locker;IT2768;06/03/2021;Northeast;Rhode Island;Providence;Women's Apparel;WA27; $32,00 ;51;1632;881,28;0,54;Online
Foot Locker;IT2769;06/03/2021;Northeast;Rhode Island;Providence;Men's Apparel;MA20; $33,00 ;25;825;297;0,36;Outlet
Foot Locker;IT2770;06/03/2021;Northeast;Rhode Island;Providence;Men's Athletic Footwear;MAF30; $34,00 ;44;1496;673,2;0,45;Online
Foot Locker;IT2771;06/03/2021;Northeast;Rhode Island;Providence;Men's Street Footwear;MSF33; $34,00 ;111;3774;1887;0,5;Online
Kohl's;IT2772;06/03/2021;Northeast;New Jersey;Newark;Men's Athletic Footwear;MAF31; $35,00 ;200;70000;24500;0,35;In-store
Foot Locker;IT2773;06/03/2021;Northeast;Rhode Island;Providence;Men's Athletic Footwear;MAF31; $35,00 ;150;52500;18375;0,35;In-store
Kohl's;IT2774;06/03/2021;Northeast;New Jersey;Newark;Men's Street Footwear;MSF35; $35,00 ;495;173250;60637,5;0,35;In-store
Foot Locker;IT2775;06/03/2021;Northeast;Rhode Island;Providence;Men's Street Footwear;MSF35; $35,00 ;445;155750;54512,5;0,35;In-store
Kohl's;IT2776;06/03/2021;Northeast;New Jersey;Newark;Women's Apparel;WA31; $35,00 ;225;78750;31500;0,4;In-store
Foot Locker;IT2777;06/03/2021;Northeast;Rhode Island;Providence;Women's Apparel;WA31; $35,00 ;175;61250;24500;0,4;In-store
Kohl's;IT2778;06/03/2021;Northeast;New Jersey;Newark;Men's Apparel;MA32; $43,00 ;34;1462;657,9;0,45;Online
Foot Locker;IT2779;06/03/2021;Northeast;Rhode Island;Providence;Men's Apparel;MA33; $44,00 ;20;880;396;0,45;Online
Kohl's;IT2780;06/03/2021;Northeast;New Jersey;Newark;Men's Apparel;MA35; $45,00 ;125;56250;16875;0,3;In-store
Foot Locker;IT2781;06/03/2021;Northeast;Rhode Island;Providence;Men's Apparel;MA35; $45,00 ;75;33750;10125;0,3;In-store
Kohl's;IT2782;06/03/2021;Midwest;Montana;Billings;Women's Street Footwear;WSF56; $42,00 ;133;5586;3351,6;0,6;Online
Kohl's;IT2783;06/03/2021;Midwest;Montana;Billings;Women's Street Footwear;WSF59; $45,00 ;475;213750;96187,5;0,45;Outlet
Foot Locker;IT2784;06/03/2021;West;Idaho;Boise;Women's Street Footwear;WSF20; $20,00 ;135;2700;1026;0,38;Outlet
Foot Locker;IT2785;06/03/2021;West;Idaho;Boise;Men's Street Footwear;MSF15; $21,00 ;200;4200;1554;0,37;Outlet
West Gear;IT2786;06/03/2021;West;Idaho;Boise;Women's Apparel;WA17; $25,00 ;124;3100;1643;0,53;Outlet
Foot Locker;IT2787;06/03/2021;West;Idaho;Boise;Women's Athletic Footwear;WAF27; $26,00 ;112;2912;1368,64;0,47;Outlet
Foot Locker;IT2788;06/03/2021;West;Idaho;Boise;Men's Athletic Footwear;MAF21; $27,00 ;188;5076;1979,64;0,39;Outlet
Foot Locker;IT2789;06/03/2021;West;Idaho;Boise;Men's Street Footwear;MSF24; $28,00 ;156;4368;1965,6;0,45;Online
Foot Locker;IT2790;06/03/2021;West;Idaho;Boise;Women's Street Footwear;WSF35; $28,00 ;113;3164;1550,36;0,49;Online
Foot Locker;IT2791;06/03/2021;West;Idaho;Boise;Men's Street Footwear;MSF27; $30,00 ;625;187500;65625;0,35;Online
Foot Locker;IT2792;06/03/2021;West;Idaho;Boise;Women's Street Footwear;WSF37; $30,00 ;450;135000;47250;0,35;Online
West Gear;IT2793;06/03/2021;West;Idaho;Boise;Men's Apparel;MA19; $32,00 ;88;2816;985,6;0,35;Outlet
West Gear;IT2794;06/03/2021;West;Idaho;Boise;Women's Apparel;WA28; $33,00 ;116;3828;2488,2;0,65;Online
Foot Locker;IT2795;06/03/2021;West;Idaho;Boise;Women's Athletic Footwear;WAF37; $33,00 ;105;3465;2009,7;0,58;Online
West Gear;IT2796;06/03/2021;West;Idaho;Boise;Women's Apparel;WA31; $35,00 ;400;140000;70000;0,5;Online
Foot Locker;IT2797;06/03/2021;West;Idaho;Boise;Women's Athletic Footwear;WAF39; $35,00 ;350;122500;55125;0,45;Online
Foot Locker;IT2798;06/03/2021;West;Idaho;Boise;Men's Athletic Footwear;MAF33; $36,00 ;169;6084;2798,64;0,46;Online
West Gear;IT2799;06/03/2021;West;Idaho;Boise;Men's Apparel;MA25; $37,00 ;75;2775;1248,75;0,45;Online
West Gear;IT2800;06/03/2021;West;Idaho;Boise;Men's Apparel;MA28; $40,00 ;250;100000;30000;0,3;Online
Foot Locker;IT2801;06/03/2021;West;Idaho;Boise;Men's Athletic Footwear;MAF37; $40,00 ;625;250000;87500;0,35;Online
Kohl's;IT2802;07/03/2021;Midwest;Montana;Billings;Women's Athletic Footwear;WAF50; $43,00 ;143;6149;3135,99;0,51;Online
Kohl's;IT2803;07/03/2021;Midwest;Montana;Billings;Women's Athletic Footwear;WAF53; $45,00 ;475;213750;85500;0,4;Outlet
Sports Direct;IT2804;08/03/2021;Midwest;North Dakota;Fargo;Women's Street Footwear;WSF18; $19,00 ;56;1064;446,88;0,42;Online
Sports Direct;IT2805;08/03/2021;Midwest;North Dakota;Fargo;Women's Street Footwear;WSF21; $20,00 ;225;45000;13500;0,3;Online
Sports Direct;IT2806;08/03/2021;Midwest;North Dakota;Fargo;Women's Athletic Footwear;WAF23; $25,00 ;75;18750;5625;0,3;Online
Sports Direct;IT2807;08/03/2021;Midwest;North Dakota;Fargo;Women's Athletic Footwear;WAF24; $25,00 ;22;550;231;0,42;Online
Sports Direct;IT2808;08/03/2021;Midwest;North Dakota;Fargo;Men's Athletic Footwear;MAF21; $27,00 ;58;1566;657,72;0,42;Online
Sports Direct;IT2809;08/03/2021;Midwest;North Dakota;Fargo;Women's Apparel;WA21; $28,00 ;63;1764;917,28;0,52;Online
Sports Direct;IT2810;08/03/2021;Midwest;North Dakota;Fargo;Men's Street Footwear;MSF25; $29,00 ;134;3886;1826,42;0,47;Online
Sports Direct;IT2811;08/03/2021;Midwest;North Dakota;Fargo;Men's Athletic Footwear;MAF25; $30,00 ;200;60000;18000;0,3;Online
Sports Direct;IT2812;08/03/2021;Midwest;North Dakota;Fargo;Men's Street Footwear;MSF28; $30,00 ;495;148500;51975;0,35;Online
Sports Direct;IT2813;08/03/2021;Midwest;North Dakota;Fargo;Women's Apparel;WA24; $30,00 ;225;67500;27000;0,4;Online
West Gear;IT2814;08/03/2021;Northeast;New York;Albany;Women's Street Footwear;WSF43; $33,00 ;161;5313;1912,68;0,36;Online
West Gear;IT2815;08/03/2021;Northeast;New York;Albany;Women's Street Footwear;WSF45; $35,00 ;575;201250;50312,5;0,25;In-store
Sports Direct;IT2816;08/03/2021;Midwest;North Dakota;Fargo;Men's Apparel;MA24; $36,00 ;36;1296;648;0,5;Online
West Gear;IT2817;08/03/2021;Northeast;New York;Albany;Women's Athletic Footwear;WAF44; $39,00 ;106;4134;1694,94;0,41;Online
Sports Direct;IT2818;08/03/2021;Midwest;North Dakota;Fargo;Men's Apparel;MA28; $40,00 ;125;50000;17500;0,35;Online
West Gear;IT2819;08/03/2021;Northeast;New York;Albany;Women's Athletic Footwear;WAF45; $40,00 ;425;170000;51000;0,3;In-store
West Gear;IT2820;08/03/2021;Northeast;New York;Albany;Women's Apparel;WA42; $43,00 ;161;6923;4153,8;0,6;Online
West Gear;IT2821;08/03/2021;Northeast;New York;Albany;Men's Athletic Footwear;MAF43; $44,00 ;165;7260;3339,6;0,46;Online
West Gear;IT2822;08/03/2021;Northeast;New York;Albany;Men's Street Footwear;MSF46; $44,00 ;252;11088;6541,92;0,59;Online
West Gear;IT2823;08/03/2021;Northeast;New York;Albany;Men's Athletic Footwear;MAF44; $45,00 ;550;247500;86625;0,35;In-store
West Gear;IT2824;08/03/2021;Northeast;New York;Albany;Men's Street Footwear;MSF48; $45,00 ;870;391500;176175;0,45;In-store
West Gear;IT2825;08/03/2021;Northeast;New York;Albany;Women's Apparel;WA46; $45,00 ;575;258750;129375;0,5;In-store
West Gear;IT2826;08/03/2021;Northeast;New York;Albany;Men's Apparel;MA45; $51,00 ;133;6783;3323,67;0,49;Online
West Gear;IT2827;08/03/2021;Northeast;New York;Albany;Men's Apparel;MA51; $55,00 ;475;261250;91437,5;0,35;In-store
Kohl's;IT2828;08/03/2021;Midwest;Montana;Billings;Men's Apparel;MA47; $53,00 ;120;6360;4642,8;0,73;Online
Kohl's;IT2829;08/03/2021;Midwest;Montana;Billings;Men's Apparel;MA49; $55,00 ;400;220000;132000;0,6;Outlet
Foot Locker;IT2830;09/03/2021;West;Hawaii;Honolulu;Men's Street Footwear;MSF46; $44,00 ;135;5940;2376;0,4;Online
Foot Locker;IT2831;09/03/2021;West;Hawaii;Honolulu;Men's Street Footwear;MSF48; $45,00 ;500;225000;56250;0,25;Outlet
Foot Locker;IT2832;09/03/2021;West;Hawaii;Honolulu;Women's Apparel;WA54; $50,00 ;85;4250;2337,5;0,55;Online
Foot Locker;IT2833;09/03/2021;West;Hawaii;Honolulu;Women's Athletic Footwear;WAF64; $52,00 ;69;3588;1291,68;0,36;Online
Foot Locker;IT2834;09/03/2021;West;Hawaii;Honolulu;Men's Athletic Footwear;MAF57; $54,00 ;91;4914;1523,34;0,31;Online
Foot Locker;IT2835;09/03/2021;West;Hawaii;Honolulu;Men's Athletic Footwear;MAF58; $55,00 ;350;192500;38500;0,2;Outlet
Foot Locker;IT2836;09/03/2021;West;Hawaii;Honolulu;Women's Apparel;WA61; $55,00 ;325;178750;71500;0,4;Outlet
Foot Locker;IT2837;09/03/2021;West;Hawaii;Honolulu;Women's Athletic Footwear;WAF67; $55,00 ;275;151250;37812,5;0,25;Outlet
Foot Locker;IT2838;09/03/2021;West;Hawaii;Honolulu;Men's Apparel;MA50; $55,00 ;36;1980;514,8;0,26;Online
Foot Locker;IT2839;09/03/2021;West;Hawaii;Honolulu;Women's Street Footwear;WSF76; $57,00 ;101;5757;2245,23;0,39;Online
Foot Locker;IT2840;09/03/2021;West;Hawaii;Honolulu;Women's Street Footwear;WSF79; $60,00 ;375;225000;56250;0,25;Outlet
Foot Locker;IT2841;09/03/2021;West;Hawaii;Honolulu;Men's Apparel;MA56; $60,00 ;125;75000;11250;0,15;Outlet
West Gear;IT2842;09/03/2021;Midwest;Indiana;Indianapolis;Women's Street Footwear;WSF10; $14,00 ;72;1008;504;0,5;Online
West Gear;IT2843;09/03/2021;Midwest;Indiana;Indianapolis;Women's Street Footwear;WSF13; $15,00 ;275;41250;14437,5;0,35;In-store
West Gear;IT2844;09/03/2021;Midwest;Indiana;Indianapolis;Women's Athletic Footwear;WAF13; $19,00 ;31;589;265,05;0,45;Online
West Gear;IT2845;09/03/2021;Midwest;Indiana;Indianapolis;Women's Athletic Footwear;WAF14; $20,00 ;125;25000;8750;0,35;In-store
Amazon;IT2846;09/03/2021;Midwest;Ohio;Columbus;Women's Street Footwear;WSF20; $20,00 ;475;95000;38000;0,4;Online
Amazon;IT2847;09/03/2021;Midwest;Ohio;Columbus;Women's Street Footwear;WSF20; $20,00 ;124;2480;1314,4;0,53;Online
West Gear;IT2848;09/03/2021;Midwest;Indiana;Indianapolis;Men's Athletic Footwear;MAF15; $23,00 ;61;1403;771,65;0,55;Online
West Gear;IT2849;09/03/2021;Midwest;Indiana;Indianapolis;Men's Street Footwear;MSF17; $23,00 ;151;3473;1771,23;0,51;Online
West Gear;IT2850;09/03/2021;Midwest;Indiana;Indianapolis;Women's Apparel;WA14; $24,00 ;74;1776;923,52;0,52;Online
Amazon;IT2851;09/03/2021;Midwest;Ohio;Columbus;Women's Athletic Footwear;WAF21; $24,00 ;98;2352;1223,04;0,52;Online
Amazon;IT2852;09/03/2021;Midwest;Ohio;Columbus;Women's Athletic Footwear;WAF22; $25,00 ;325;81250;32500;0,4;Online
West Gear;IT2853;09/03/2021;Midwest;Indiana;Indianapolis;Men's Athletic Footwear;MAF18; $25,00 ;225;56250;22500;0,4;In-store
West Gear;IT2854;09/03/2021;Midwest;Indiana;Indianapolis;Men's Street Footwear;MSF20; $25,00 ;520;130000;52000;0,4;In-store
West Gear;IT2855;09/03/2021;Midwest;Indiana;Indianapolis;Women's Apparel;WA18; $25,00 ;275;68750;27500;0,4;In-store
Amazon;IT2856;09/03/2021;Midwest;Ohio;Columbus;Men's Athletic Footwear;MAF21; $27,00 ;126;3402;1530,9;0,45;Online
Amazon;IT2857;09/03/2021;Midwest;Ohio;Columbus;Men's Street Footwear;MSF23; $27,00 ;231;6237;3243,24;0,52;Online
Amazon;IT2858;09/03/2021;Midwest;Ohio;Columbus;Women's Apparel;WA21; $28,00 ;128;3584;2186,24;0,61;Online
Amazon;IT2859;09/03/2021;Midwest;Ohio;Columbus;Men's Athletic Footwear;MAF24; $30,00 ;450;135000;47250;0,35;Online
Amazon;IT2860;09/03/2021;Midwest;Ohio;Columbus;Men's Street Footwear;MSF27; $30,00 ;770;231000;92400;0,4;Online
Amazon;IT2861;09/03/2021;Midwest;Ohio;Columbus;Women's Apparel;WA23; $30,00 ;475;142500;71250;0,5;Online
West Gear;IT2862;09/03/2021;Midwest;Indiana;Indianapolis;Men's Apparel;MA19; $32,00 ;44;1408;605,44;0,43;Online
West Gear;IT2863;09/03/2021;Midwest;Indiana;Indianapolis;Men's Apparel;MA22; $35,00 ;175;61250;18375;0,3;In-store
Amazon;IT2864;09/03/2021;Midwest;Ohio;Columbus;Men's Apparel;MA25; $37,00 ;113;4181;2048,69;0,49;Online
Amazon;IT2865;09/03/2021;Midwest;Ohio;Columbus;Men's Apparel;MA29; $40,00 ;375;150000;52500;0,35;Online
Kohl's;IT2866;09/03/2021;West;California;San Francisco;Women's Street Footwear;WSF48; $36,00 ;217;7812;3281,04;0,42;Outlet
Kohl's;IT2867;09/03/2021;West;California;San Francisco;Women's Street Footwear;WSF55; $41,00 ;189;7749;4029,48;0,52;Online
Kohl's;IT2868;09/03/2021;West;California;San Francisco;Women's Street Footwear;WSF59; $45,00 ;700;315000;126000;0,4;Outlet
Kohl's;IT2869;09/03/2021;Midwest;Montana;Billings;Women's Apparel;WA62; $55,00 ;130;7150;2860;0,4;Online
Kohl's;IT2870;09/03/2021;Midwest;Montana;Billings;Women's Apparel;WA69; $60,00 ;500;300000;75000;0,25;Outlet
